Model,Activation,Optimizer,SeqLen,GradClip,Epoch,Loss,Accuracy,F1,EpochTime(s),TotalTime(s)
RNN,relu,rmsprop,25,Yes,3,0.62,0.6585,0.6584,4.78,24.27
RNN,relu,rmsprop,25,Yes,4,0.5866,0.674,0.674,4.85,24.27
RNN,relu,rmsprop,25,Yes,5,0.5507,0.6824,0.679,4.78,24.27
RNN,relu,rmsprop,50,No,1,0.6958,0.5413,0.5273,7.47,36.92
RNN,relu,rmsprop,50,No,2,0.6881,0.5793,0.5729,7.37,36.92
RNN,relu,rmsprop,50,No,3,0.6796,0.538,0.535,7.38,36.92
RNN,relu,rmsprop,50,No,4,0.6836,0.5979,0.5874,7.34,36.92
RNN,relu,rmsprop,50,No,5,0.6516,0.6185,0.6185,7.35,36.92
RNN,relu,rmsprop,50,Yes,1,0.694,0.5636,0.5633,7.79,38.51
RNN,relu,rmsprop,50,Yes,2,0.6773,0.5931,0.5616,7.66,38.51
RNN,relu,rmsprop,50,Yes,3,0.657,0.6302,0.6252,7.69,38.51
RNN,relu,rmsprop,50,Yes,4,0.6233,0.6732,0.6719,7.67,38.51
RNN,relu,rmsprop,50,Yes,5,0.5878,0.6949,0.6925,7.71,38.51
RNN,relu,rmsprop,100,No,1,0.6964,0.5211,0.5203,13.6,67.7
RNN,relu,rmsprop,100,No,2,0.6901,0.5379,0.5152,13.53,67.7
RNN,relu,rmsprop,100,No,3,0.6881,0.5424,0.542,13.58,67.7
RNN,relu,rmsprop,100,No,4,0.6748,0.6186,0.6186,13.43,67.7
RNN,relu,rmsprop,100,No,5,0.6595,0.6105,0.6105,13.56,67.7
RNN,relu,rmsprop,100,Yes,1,0.6956,0.5218,0.5039,13.91,68.91
RNN,relu,rmsprop,100,Yes,2,0.6883,0.548,0.5187,13.62,68.91
RNN,relu,rmsprop,100,Yes,3,0.6784,0.6094,0.604,13.93,68.91
RNN,relu,rmsprop,100,Yes,4,0.6536,0.6448,0.643,13.79,68.91
RNN,relu,rmsprop,100,Yes,5,0.6332,0.6486,0.6486,13.66,68.91
LSTM,relu,adam,25,No,1,0.652,0.677,0.6758,10.08,49.28
LSTM,relu,adam,25,No,2,0.5518,0.7104,0.7102,9.74,49.28
LSTM,relu,adam,25,No,3,0.4792,0.7172,0.7167,9.57,49.28
LSTM,relu,adam,25,No,4,0.4165,0.7238,0.7238,9.82,49.28
LSTM,relu,adam,25,No,5,0.3571,0.7241,0.7241,10.06,49.28
LSTM,relu,adam,25,Yes,1,0.6607,0.6717,0.6695,10.54,50.87
LSTM,relu,adam,25,Yes,2,0.5589,0.7105,0.7095,10.1,50.87
LSTM,relu,adam,25,Yes,3,0.4825,0.7224,0.7224,10.05,50.87
LSTM,relu,adam,25,Yes,4,0.4202,0.7252,0.7247,10.06,50.87
LSTM,relu,adam,25,Yes,5,0.3584,0.7199,0.7187,10.12,50.87
LSTM,relu,adam,50,No,1,0.6797,0.6141,0.6012,17.64,87.59
LSTM,relu,adam,50,No,2,0.6233,0.6926,0.6926,17.48,87.59
LSTM,relu,adam,50,No,3,0.5294,0.7264,0.7264,17.51,87.59
LSTM,relu,adam,50,No,4,0.4608,0.7454,0.7453,17.45,87.59
LSTM,relu,adam,50,No,5,0.4009,0.7541,0.7537,17.51,87.59
LSTM,relu,adam,50,Yes,1,0.6695,0.6131,0.5876,17.95,89.3
LSTM,relu,adam,50,Yes,2,0.5767,0.7262,0.726,17.86,89.3
LSTM,relu,adam,50,Yes,3,0.4805,0.7532,0.7525,17.76,89.3
LSTM,relu,adam,50,Yes,4,0.4104,0.767,0.7668,17.86,89.3
LSTM,relu,adam,50,Yes,5,0.3508,0.7649,0.7648,17.87,89.3
LSTM,relu,adam,100,No,1,0.6838,0.5604,0.5034,33.71,168.15
LSTM,relu,adam,100,No,2,0.6855,0.5764,0.5763,33.68,168.15
LSTM,relu,adam,100,No,3,0.6834,0.6021,0.6021,33.62,168.15
LSTM,relu,adam,100,No,4,0.6388,0.6982,0.6916,33.56,168.15
LSTM,relu,adam,100,No,5,0.5299,0.7567,0.7552,33.59,168.15
LSTM,relu,adam,100,Yes,1,0.6678,0.6482,0.6382,34.45,171.26
LSTM,relu,adam,100,Yes,2,0.5329,0.7658,0.7635,34.18,171.26
LSTM,relu,adam,100,Yes,3,0.4232,0.8096,0.8094,34.12,171.26
LSTM,relu,adam,100,Yes,4,0.3492,0.8144,0.8144,34.37,171.26
LSTM,relu,adam,100,Yes,5,0.297,0.8141,0.8127,34.14,171.26
LSTM,relu,sgd,25,No,1,0.6934,0.5128,0.4281,8.89,43.68
LSTM,relu,sgd,25,No,2,0.6927,0.5265,0.4777,8.73,43.68
LSTM,relu,sgd,25,No,3,0.6916,0.5234,0.467,8.72,43.68
LSTM,relu,sgd,25,No,4,0.6892,0.5418,0.5234,8.67,43.68
LSTM,relu,sgd,25,No,5,0.6814,0.5806,0.5804,8.67,43.68
LSTM,relu,sgd,25,Yes,1,0.6936,0.5161,0.452,9.16,45.38
LSTM,relu,sgd,25,Yes,2,0.6929,0.5066,0.3737,9.08,45.38
LSTM,relu,sgd,25,Yes,3,0.6924,0.5367,0.5202,9.04,45.38
LSTM,relu,sgd,25,Yes,4,0.6912,0.5468,0.5436,9.0,45.38
LSTM,relu,sgd,25,Yes,5,0.6888,0.5518,0.5462,9.09,45.38
LSTM,relu,sgd,50,No,1,0.6934,0.5017,0.3693,16.91,83.63
LSTM,relu,sgd,50,No,2,0.6929,0.5042,0.3511,16.71,83.63
